63,62,60,64
64,71,69,70
69,67,68,70
69,71,72,72
75,75,75,75
74,74,73,73
78,77,79,79
72,73,72,73
76,77,77,78
69,69,69,69
78,75,76,77
80,74,70,79
75,69,71,73
81,77,80,79
77,74,75,77
73,74,75,76
84,80,77,82
74,73,74,76
72,69,69,70
72,71,71,71
63,62,61,62
69,67,69,68
62,65,60,63
65,65,61,65
76,74,75,75
68,75,67,67
67,65,65,67
66,65,61,65
68,62,63,66
69,65,61,66
78,74,78,79
79,76,74,77
74,75,75,74
83,85,82,83
76,71,75,76
78,77,70,78
76,81,73,74
75,75,74,74
79,72,70,78
77,80,75,77
72,71,74,71
68,65,66,67
69,62,65,67
64,62,63,62
72,68,69,69
71,67,65,66
63,62,62,62
75,71,63,69
66,65,64,66
66,61,59,62
62,61,60,60
65,63,58,64
64,62,63,63
76,75,76,76
74,72,66,73
73,70,65,72
73,72,68,70
70,69,67,70
74,79,71,73
72,72,66,70
73,74,73,74
69,66,68,68
75,71,70,73
70,64,63,69
70,69,75,71
69,62,61,68
70,69,69,70
72,64,66,66
71,69,65,69
73,65,67,69
72,78,63,69
63,62,61,62
89,66,65,67
65,60,63,64
64,66,63,65
65,65,64,64
69,62,67,66
64,60,59,62
71,68,71,70
69,69,69,68
78,73,77,78
74,70,73,74
71,72,72,72
75,74,74,74
71,70,70,71
71,70,70,71
78,77,76,78
74,72,75,75
72,70,72,72
78,76,75,77
80,76,74,78
93,78,78,92
74,74,74,74
70,73,73,73
71,74,72,72
94,93,86,93
89,91,92,90
70,69,71,71
70,69,70,70
77,77,74,77
74,69,70,71
85,77,85,85
66,65,66,67
72,72,73,73
83,76,79,83
73,74,74,74
74,68,70,73
71,68,71,71
70,66,67,69
75,73,74,75
76,74,75,76
76,73,70,76
75,74,75,76
76,75,75,76
80,71,67,75
76,69,72,76
78,81,77,79
67,65,66,66
77,70,70,73
68,69,68,68
73,72,73,73
72,70,69,72
75,72,71,74
71,67,67,71
75,75,73,77
74,57,77,76
77,81,74,78
78,78,77,77
78,80,77,78
68,68,68,69
71,69,70,70
69,75,71,69
69,65,68,68
73,72,72,72
67,64,69,67
65,65,65,65
66,69,63,66
64,63,63,63
72,67,67,70
63,62,60,61
58,60,59,59
58,58,53,58
60,60,60,60
59,61,57,58
62,61,58,60
61,60,60,60
60,60,58,59
63,62,61,62
64,62,60,62
62,61,62,62
65,62,65,65
68,69,67,67
69,63,66,67
70,69,69,68
63,61,63,63
68,70,61,69
68,70,57,67
69,66,67,69
64,62,61,63
71,68,67,70
74,72,72,72
77,80,77,76
74,73,73,73
66,61,61,62
79,77,74,77
78,80,70,77
66,63,61,63
76,73,75,76
63,64,61,63
76,72,73,75
74,76,74,75
91,95,86,91
84,77,80,83
85,77,79,83
77,75,73,75
77,74,73,75
78,74,77,78
75,72,74,74
78,75,76,81
66,65,66,67
66,65,66,66
79,80,79,79
74,77,73,74
74,72,72,73
74,74,71,72
74,77,73,77
73,73,75,72
76,73,72,75
76,74,71,76
74,71,71,73
73,72,71,72
76,78,74,76
76,73,74,75
76,74,73,72
68,62,64,65
63,64,62,62
70,71,70,70
60,61,62,64
68,64,63,67
66,64,62,67
61,60,59,61
63,64,66,65
61,62,61,66
64,62,58,63
69,64,59,67
67,65,64,67
78,70,72,72
74,68,71,73
71,69,66,66
66,65,65,69
65,64,63,65
66,65,64,66
67,63,64,64
64,63,62,65
66,64,67,66
65,66,65,66
66,66,64,66
55,58,50,51
53,57,50,52
58,57,52,54
58,56,54,55
56,55,53,54
59,56,55,56
60,56,55,58
59,55,56,57
57,57,58,58
63,62,60,61
71,66,66,66
78,69,70,70
65,65,65,64
65,63,64,65
74,73,71,70
81,75,75,74
70,66,65,68
67,61,64,65
68,70,66,68
63,64,64,64
65,63,63,64
64,63,65,63
63,64,60,63
71,74,68,74
74,71,75,75
68,64,66,66
70,71,70,73
71,72,67,71
60,60,60,61
62,63,63,62
69,65,67,66
74,66,66,68
65,61,63,64
66,63,65,64
63,63,63,62
65,67,67,65
79,83,80,80
79,77,79,79
79,78,79,79
85,82,81,81
83,84,80,80
81,79,80,82
77,75,73,73
81,76,73,75
71,71,69,70
77,74,73,73
76,72,72,71
77,71,72,75
72,69,72,72
71,70,69,72
70,71,70,70
72,73,71,72
72,68,67,69
68,68,68,68
67,68,69,68
65,65,66,64
76,72,73,73
76,69,70,71
76,72,73,74
76,72,72,73
77,76,78,78
77,75,75,76
70,72,72,72
73,73,73,73
83,80,81,82
82,79,77,81
79,78,77,77
82,80,79,79
71,71,70,69
73,69,70,70
73,70,72,73
88,95,90,90
90,88,89,89
83,83,80,80
84,83,84,84
88,79,80,82
86,84,80,85
82,80,81,81
79,79,82,82
73,74,72,72
71,71,71,71
76,74,75,75
76,77,72,76
